Feature,Score,Status,Key Evidence Files
Core Rendering & Engine,88,Present,"src/components/Workspace.jsx, src/engine/LODGenerator.js, src/store/SceneGraphStore.js, src/engine/SceneGraphOps.js"
Scene Editor,85,Present,"src/components/Outliner.jsx, src/components/ObjectProperties.jsx, src/components/StudioToolbar.jsx, src/engine/SnapManager.js"
Asset Pipeline,80,Present,"src/engine/ImportEngine.js, src/engine/ExportEngine.js, src/components/GLBImporter.jsx, src/utils/upload.js"
Materials & Shading,90,Present,"src/engine/MaterialLibrary.js, src/components/MaterialEditor.jsx, src/engine/TextureGenerator.js, src/engine/PostFXManager.js"
Lighting & Environment,82,Present,"src/engine/EnvironmentManager.js, src/components/EnvironmentSetup.jsx, src/components/LightingSetup.jsx, src/engine/ScenePresets.js"
Camera & Controls,72,Present,"src/components/CameraControls.jsx, src/components/workspace/cameraUtils.js, src/components/Workspace.jsx"
Animation & Timeline,68,Present,"src/engine/AnimationEngine.js, src/components/Timeline.jsx, src/components/AnimationKeyframeEditor.jsx, src/components/AnimationScrubber.jsx"
Physics & Interactions,15,Missing,"package.json (@react-three/cannon installed but unused)"
Persistence & Storage,85,Present,"backend/routes/projects.js, backend/models/Project.js, src/components/BackupsPanel.jsx, src/utils/sceneData.js"
Collaboration & Realtime,40,Partial,"backend/socket.js, src/pages/Studio.jsx (skeletal collab), yjs + y-websocket (installed but unwired)"
Marketplace & Commerce,88,Present,"backend/routes/marketplace/, src/store/MarketplaceStore.js, src/pages/marketplace/, src/components/marketplace/"
Auth & User Management,78,Present,"backend/controllers/authController.js, backend/middleware/authMiddleware.js, src/contexts/AuthContext.jsx"
Performance & Optimization,86,Present,"src/engine/MeshDecimator.js, src/engine/LODGenerator.js, src/engine/SceneOptimizer.js, src/utils/validator.js"
Tests & CI,78,Present,"src/__tests__/ (21 files, 371 tests), .github/workflows/ci.yml, backend/tests/"
Documentation & Examples,70,Present,"README.md, MARKETPLACE_README.md, public/models/ (7 GLB demos)"
DevOps & Deployment,82,Present,"Dockerfile, docker-compose.yml, render.yaml, vercel.json, .github/workflows/ci.yml"
